ensembl,symbol,description,log2FoldChange,pvalue,padj,206221_sp_7d_tg,206220_sp_7d_tg,206222_sp_7d_tg,206218_sp_7d_tg,206333_sp_7d_tg,206334_sp_7d_tg,206346_sp_7d_wt,193373_sp_7d_wt,193377_sp_7d_wt,206219_sp_7d_wt,206332_sp_7d_wt,206217_sp_7d_wt
ENSMUSG00000025986,Slc39a10,"solute carrier family 39 (zinc transporter), member 10 [Source:MGI Symbol;Acc:MGI:1914515]",1.137453046,2.60E-08,2.04E-07,53,54,43,61,66,52,26,33,18,19,23,24
ENSMUSG00000021415,4933417A18Rik,RIKEN cDNA 4933417A18 gene [Source:MGI Symbol;Acc:MGI:1914011],-5.127533755,2.61E-08,2.05E-07,0,0,0,0,0,1,7,8,8,8,9,12
ENSMUSG00000028797,Tmem234,transmembrane protein 234 [Source:MGI Symbol;Acc:MGI:1924049],0.705592891,2.61E-08,2.05E-07,870,832,744,630,983,876,444,429,516,367,526,632
ENSMUSG00000098923,Tmem185b,transmembrane protein 185B [Source:MGI Symbol;Acc:MGI:1917634],0.714400464,2.63E-08,2.06E-07,215,285,165,203,186,187,117,107,141,104,119,136
ENSMUSG00000025794,Rpl14,ribosomal protein L14 [Source:MGI Symbol;Acc:MGI:1914365],0.61994514,2.63E-08,2.07E-07,2146,2427,2366,2282,2040,1939,1465,1446,1351,1532,1070,1409
ENSMUSG00000025165,Sectm1a,secreted and transmembrane 1A [Source:MGI Symbol;Acc:MGI:2384805],-2.276821651,2.64E-08,2.07E-07,10,2,11,11,2,6,26,32,30,20,24,73
ENSMUSG00000026342,Slc35f5,"solute carrier family 35, member F5 [Source:MGI Symbol;Acc:MGI:1921400]",0.586048909,2.65E-08,2.07E-07,551,631,504,529,491,460,377,300,290,317,280,486
ENSMUSG00000021792,Prxl2a,peroxiredoxin like 2A [Source:MGI Symbol;Acc:MGI:1917814],0.925677045,2.65E-08,2.07E-07,4920,3858,3014,2589,3635,3046,1801,1110,2365,1485,1712,2304
ENSMUSG00000057604,Lmcd1,LIM and cysteine-rich domains 1 [Source:MGI Symbol;Acc:MGI:1353635],-1.890238135,2.65E-08,2.08E-07,11,3,6,13,3,10,29,35,23,25,23,30
ENSMUSG00000019893,Ros1,Ros1 proto-oncogene [Source:MGI Symbol;Acc:MGI:97999],-5.245010876,2.66E-08,2.08E-07,0,0,1,0,0,0,9,11,4,16,7,9
ENSMUSG00000024400,Wdr33,WD repeat domain 33 [Source:MGI Symbol;Acc:MGI:1921570],0.480069188,2.69E-08,2.11E-07,476,519,420,423,432,392,334,277,300,317,259,354
ENSMUSG00000025358,Cdk2,cyclin-dependent kinase 2 [Source:MGI Symbol;Acc:MGI:104772],-1.081324644,2.70E-08,2.11E-07,31,33,28,52,48,38,94,83,92,68,53,77
ENSMUSG00000025007,Aldh18a1,"aldehyde dehydrogenase 18 family, member A1 [Source:MGI Symbol;Acc:MGI:1888908]",0.764587002,2.70E-08,2.11E-07,251,316,211,276,229,206,162,99,170,142,96,181
ENSMUSG00000002768,Mea1,male enhanced antigen 1 [Source:MGI Symbol;Acc:MGI:96957],0.854838965,2.70E-08,2.11E-07,174,162,165,146,232,176,76,92,116,70,92,114
ENSMUSG00000009246,Trpm5,"transient receptor potential cation channel, subfamily M, member 5 [Source:MGI Symbol;Acc:MGI:1861718]",-1.210969116,2.72E-08,2.12E-07,20,28,24,19,30,20,58,30,38,62,56,72
ENSMUSG00000032586,Traip,TRAF-interacting protein [Source:MGI Symbol;Acc:MGI:1096377],-1.363638008,2.72E-08,2.13E-07,18,34,22,10,20,16,58,39,59,42,55,41
ENSMUSG00000054675,Tmem119,transmembrane protein 119 [Source:MGI Symbol;Acc:MGI:2385228],1.197977281,2.76E-08,2.16E-07,49,68,66,98,56,63,30,30,33,29,20,26
ENSMUSG00000028145,Them4,thioesterase superfamily member 4 [Source:MGI Symbol;Acc:MGI:1923028],0.686228974,2.78E-08,2.17E-07,420,419,287,285,357,342,248,192,225,185,208,197
ENSMUSG00000094091,Gm21885,"predicted gene, 21885 [Source:MGI Symbol;Acc:MGI:5434049]",-1.562575275,2.80E-08,2.18E-07,4,15,12,21,23,16,38,27,41,37,52,64
ENSMUSG00000092323,BB365896,expressed sequence BB365896 [Source:MGI Symbol;Acc:MGI:3034340],-2.03031631,2.84E-08,2.22E-07,9,11,11,11,21,10,69,26,11,50,66,67
ENSMUSG00000022550,Adck5,aarF domain containing kinase 5 [Source:MGI Symbol;Acc:MGI:2679274],-0.906806562,2.86E-08,2.23E-07,40,42,36,33,50,46,78,55,85,75,76,76
ENSMUSG00000116031,D030024E09Rik,RIKEN cDNA D030024E09 gene [Source:MGI Symbol;Acc:MGI:3041198],2.783873139,2.90E-08,2.26E-07,14,12,9,24,26,16,2,4,2,3,1,2
ENSMUSG00000116109,Gm49498,"predicted gene, 49498 [Source:MGI Symbol;Acc:MGI:6155181]",2.783873139,2.90E-08,2.26E-07,14,12,9,24,26,16,2,4,2,3,1,2
ENSMUSG00000037989,Wnk2,WNK lysine deficient protein kinase 2 [Source:MGI Symbol;Acc:MGI:1922857],-1.083916978,2.92E-08,2.27E-07,23,47,29,27,43,44,84,52,51,78,69,102
ENSMUSG00000006304,Arpc2,"actin related protein 2/3 complex, subunit 2 [Source:MGI Symbol;Acc:MGI:1923959]",0.481748828,2.93E-08,2.28E-07,3575,3934,3567,3196,3625,3795,2628,2184,2832,2144,2398,2795
ENSMUSG00000076754,Trgv2,T cell receptor gamma variable 2 [Source:MGI Symbol;Acc:MGI:98632],-3.227293747,3.01E-08,2.34E-07,2,1,3,1,0,2,16,18,9,11,14,13
ENSMUSG00000102047,2010010A06Rik,RIKEN cDNA 2010010A06 gene [Source:MGI Symbol;Acc:MGI:1913686],-2.102786196,3.06E-08,2.38E-07,7,4,6,2,14,4,15,25,31,19,31,30
ENSMUSG00000087132,A930001C03Rik,RIKEN cDNA A930001C03 gene [Source:MGI Symbol;Acc:MGI:2441838],1.806849852,3.09E-08,2.40E-07,49,41,40,43,32,35,18,20,12,4,4,8
ENSMUSG00000010554,Mettl16,methyltransferase like 16 [Source:MGI Symbol;Acc:MGI:1914743],0.568666927,3.09E-08,2.41E-07,300,342,246,286,321,269,192,191,190,177,200,185
ENSMUSG00000001280,Sp1,trans-acting transcription factor 1 [Source:MGI Symbol;Acc:MGI:98372],-0.488657632,3.11E-08,2.41E-07,501,572,435,626,596,529,911,645,686,731,614,822
ENSMUSG00000031232,Magt1,magnesium transporter 1 [Source:MGI Symbol;Acc:MGI:1914325],-0.597760966,3.11E-08,2.42E-07,1149,1246,806,945,959,874,1713,1088,1438,1348,1554,1553
ENSMUSG00000040712,Camta2,calmodulin binding transcription activator 2 [Source:MGI Symbol;Acc:MGI:2135957],-0.892967207,3.14E-08,2.44E-07,75,78,82,88,97,52,162,146,164,109,106,157
ENSMUSG00000106019,Gm43672,predicted gene 43672 [Source:MGI Symbol;Acc:MGI:5663809],-2.060524442,3.14E-08,2.44E-07,8,7,6,2,7,4,26,16,28,25,27,13
ENSMUSG00000086997,Gm12981,predicted gene 12981 [Source:MGI Symbol;Acc:MGI:3651528],2.074007204,3.15E-08,2.44E-07,20,40,13,24,24,17,4,5,5,9,4,4
ENSMUSG00000020561,Twistnb,twist basic helix-loop-helix transcription factor 1 neighbor [Source:MGI Symbol;Acc:MGI:106292],0.94078824,3.25E-08,2.52E-07,131,173,135,122,161,140,84,29,69,86,68,101
ENSMUSG00000031937,Vstm5,V-set and transmembrane domain containing 5 [Source:MGI Symbol;Acc:MGI:1916387],-0.965649937,3.26E-08,2.53E-07,36,91,51,44,72,58,125,106,110,120,79,115
ENSMUSG00000039981,Zc3h12d,zinc finger CCCH type containing 12D [Source:MGI Symbol;Acc:MGI:3045313],-1.207131585,3.27E-08,2.53E-07,23,14,17,21,28,23,50,53,39,41,47,49
ENSMUSG00000038930,Rccd1,RCC1 domain containing 1 [Source:MGI Symbol;Acc:MGI:2444156],-0.805546078,3.31E-08,2.57E-07,42,62,44,55,64,49,100,84,94,76,83,92
ENSMUSG00000090061,Nwd2,NACHT and WD repeat domain containing 2 [Source:MGI Symbol;Acc:MGI:1920464],5.666183184,3.32E-08,2.57E-07,3,3,8,6,25,14,0,0,0,0,0,0
ENSMUSG00000042737,Dpm3,dolichyl-phosphate mannosyltransferase polypeptide 3 [Source:MGI Symbol;Acc:MGI:1915813],-0.641969813,3.33E-08,2.58E-07,257,262,261,264,296,290,436,428,457,417,301,406
ENSMUSG00000041781,Cpsf2,cleavage and polyadenylation specific factor 2 [Source:MGI Symbol;Acc:MGI:1861601],0.469878302,3.33E-08,2.58E-07,502,542,404,459,467,444,354,254,311,339,332,370
ENSMUSG00000046110,Serinc4,serine incorporator 4 [Source:MGI Symbol;Acc:MGI:2441842],-0.841377753,3.36E-08,2.60E-07,55,58,37,58,77,63,116,72,92,110,100,109
ENSMUSG00000050234,Gja4,"gap junction protein, alpha 4 [Source:MGI Symbol;Acc:MGI:95715]",1.328300084,3.36E-08,2.60E-07,37,57,34,39,64,46,19,9,26,21,10,21
ENSMUSG00000029591,Ung,uracil DNA glycosylase [Source:MGI Symbol;Acc:MGI:109352],-1.160935282,3.36E-08,2.60E-07,61,51,31,68,73,85,128,83,100,147,161,178
ENSMUSG00000068855,H2ac20,H2A clustered histone 20 [Source:MGI Symbol;Acc:MGI:2448316],-1.94598169,3.37E-08,2.61E-07,4,2,10,6,6,6,27,18,19,20,16,28
ENSMUSG00000026259,Ngef,neuronal guanine nucleotide exchange factor [Source:MGI Symbol;Acc:MGI:1858414],-0.926718192,3.41E-08,2.63E-07,48,59,60,46,68,46,98,83,105,72,121,118
ENSMUSG00000037053,Azgp1,"alpha-2-glycoprotein 1, zinc [Source:MGI Symbol;Acc:MGI:103163]",4.433577536,3.42E-08,2.64E-07,89,48,74,55,79,58,0,13,1,0,1,2
ENSMUSG00000030062,Rpn1,ribophorin I [Source:MGI Symbol;Acc:MGI:98084],-0.501895005,3.43E-08,2.65E-07,986,1236,870,975,959,1017,1416,1232,1469,1308,1414,1334
ENSMUSG00000037095,Lrg1,leucine-rich alpha-2-glycoprotein 1 [Source:MGI Symbol;Acc:MGI:1924155],1.309552001,3.45E-08,2.66E-07,69,50,45,110,84,62,25,18,28,35,24,34
ENSMUSG00000024026,Glo1,glyoxalase 1 [Source:MGI Symbol;Acc:MGI:95742],-0.640885862,3.48E-08,2.68E-07,208,246,239,214,268,281,394,275,362,322,414,424
ENSMUSG00000021156,Zmynd11,"zinc finger, MYND domain containing 11 [Source:MGI Symbol;Acc:MGI:1913755]",0.460984836,3.49E-08,2.69E-07,546,592,484,523,715,538,424,320,382,370,396,484
ENSMUSG00000030123,Plxnd1,plexin D1 [Source:MGI Symbol;Acc:MGI:2154244],1.049132265,3.54E-08,2.73E-07,62,97,46,89,65,73,36,35,32,30,34,32
ENSMUSG00000046157,Tmem229b,transmembrane protein 229B [Source:MGI Symbol;Acc:MGI:2444389],-1.844628631,3.62E-08,2.79E-07,8,13,11,5,19,15,79,34,20,29,33,53
ENSMUSG00000020182,Ddc,dopa decarboxylase [Source:MGI Symbol;Acc:MGI:94876],-0.842888551,3.65E-08,2.81E-07,612,724,691,629,785,790,1327,1129,738,1005,1348,1820
ENSMUSG00000028601,Echdc2,enoyl Coenzyme A hydratase domain containing 2 [Source:MGI Symbol;Acc:MGI:1289238],-0.750903886,3.66E-08,2.82E-07,68,68,71,74,70,72,129,89,96,117,125,132
ENSMUSG00000002055,Spag5,sperm associated antigen 5 [Source:MGI Symbol;Acc:MGI:1927470],-1.428620731,3.71E-08,2.85E-07,27,39,52,57,54,46,212,59,67,125,127,137
ENSMUSG00000013089,Etv5,ets variant 5 [Source:MGI Symbol;Acc:MGI:1096867],2.097069046,3.75E-08,2.88E-07,33,39,34,28,41,36,2,18,9,11,4,2
ENSMUSG00000047281,Sfn,stratifin [Source:MGI Symbol;Acc:MGI:1891831],0.974499313,3.82E-08,2.94E-07,376,640,487,475,625,497,238,315,326,151,202,263
ENSMUSG00000001034,Mapk7,mitogen-activated protein kinase 7 [Source:MGI Symbol;Acc:MGI:1346347],0.990652439,3.83E-08,2.95E-07,70,66,64,75,82,56,46,34,28,35,27,30
ENSMUSG00000045094,Arhgef37,Rho guanine nucleotide exchange factor (GEF) 37 [Source:MGI Symbol;Acc:MGI:3045339],2.132970614,3.86E-08,2.97E-07,29,22,42,22,25,28,5,13,9,3,2,5
ENSMUSG00000030201,Lrp6,low density lipoprotein receptor-related protein 6 [Source:MGI Symbol;Acc:MGI:1298218],-0.865584658,3.89E-08,2.99E-07,231,268,224,219,215,162,373,279,520,376,255,539
ENSMUSG00000114370,Gm46411,"predicted gene, 46411 [Source:MGI Symbol;Acc:MGI:5826048]",2.278177431,3.99E-08,3.06E-07,17,29,19,21,21,9,5,2,6,2,3,5
ENSMUSG00000000489,Pdgfb,"platelet derived growth factor, B polypeptide [Source:MGI Symbol;Acc:MGI:97528]",1.176000134,4.02E-08,3.09E-07,63,85,84,89,62,62,23,30,46,30,19,43
ENSMUSG00000036304,Zdhhc23,"zinc finger, DHHC domain containing 23 [Source:MGI Symbol;Acc:MGI:2685625]",0.751358352,4.03E-08,3.09E-07,182,207,157,164,222,192,126,101,94,86,131,99
ENSMUSG00000100150,Gm19585,"predicted gene, 19585 [Source:MGI Symbol;Acc:MGI:5011770]",-2.586652343,4.05E-08,3.11E-07,2,3,2,3,2,3,14,17,13,12,16,14
ENSMUSG00000066258,Trim12a,tripartite motif-containing 12A [Source:MGI Symbol;Acc:MGI:1923931],-0.919129526,4.08E-08,3.13E-07,103,66,49,105,92,82,166,128,127,137,147,206
ENSMUSG00000042097,Zfp239,zinc finger protein 239 [Source:MGI Symbol;Acc:MGI:1306812],-1.261586734,4.09E-08,3.14E-07,31,36,14,14,16,18,58,45,49,50,43,51
ENSMUSG00000039089,L3mbtl3,L3MBTL3 histone methyl-lysine binding protein [Source:MGI Symbol;Acc:MGI:2143628],0.830089094,4.18E-08,3.21E-07,204,173,152,214,220,176,91,120,76,120,95,111
ENSMUSG00000107577,Gm44103,"predicted gene, 44103 [Source:MGI Symbol;Acc:MGI:5690495]",0.782296222,4.22E-08,3.23E-07,131,146,110,106,130,104,73,43,86,64,61,81
ENSMUSG00000044156,Hepacam2,HEPACAM family member 2 [Source:MGI Symbol;Acc:MGI:2141520],-0.690197998,4.35E-08,3.33E-07,311,231,242,220,294,288,382,330,494,410,375,486
ENSMUSG00000035686,Thrsp,thyroid hormone responsive [Source:MGI Symbol;Acc:MGI:109126],1.688649896,4.36E-08,3.34E-07,27,44,32,52,36,39,8,15,21,12,4,8
ENSMUSG00000033055,Ankrd54,ankyrin repeat domain 54 [Source:MGI Symbol;Acc:MGI:2444209],-0.782177192,4.37E-08,3.34E-07,86,74,62,91,92,69,156,123,124,139,123,116
ENSMUSG00000020752,Recql5,RecQ protein-like 5 [Source:MGI Symbol;Acc:MGI:2156841],-0.984342065,4.40E-08,3.37E-07,46,85,31,54,56,40,96,84,122,102,82,100
ENSMUSG00000048720,Tbc1d12,"TBC1D12: TBC1 domain family, member 12 [Source:MGI Symbol;Acc:MGI:2384803]",0.772856053,4.43E-08,3.39E-07,104,136,93,105,120,81,55,53,61,59,63,67
ENSMUSG00000018697,Aatf,apoptosis antagonizing transcription factor [Source:MGI Symbol;Acc:MGI:1929608],0.995969216,4.45E-08,3.40E-07,131,129,84,89,119,86,46,45,44,39,46,90
ENSMUSG00000038267,Slc22a23,"solute carrier family 22, member 23 [Source:MGI Symbol;Acc:MGI:1920352]",0.7313248,4.45E-08,3.40E-07,258,242,160,167,243,200,107,98,129,129,114,159
ENSMUSG00000054321,Taf4b,TATA-box binding protein associated factor 4b [Source:MGI Symbol;Acc:MGI:2152345],1.092291101,4.47E-08,3.42E-07,46,67,50,56,49,42,19,20,20,25,24,32
ENSMUSG00000076749,Trgc1,"T cell receptor gamma, constant 1 [Source:MGI Symbol;Acc:MGI:98625]",-2.3892479,4.61E-08,3.52E-07,3,2,3,5,2,5,21,8,15,14,22,22
ENSMUSG00000039233,Tbce,tubulin-specific chaperone E [Source:MGI Symbol;Acc:MGI:1917680],0.891072443,4.65E-08,3.55E-07,108,171,108,92,146,108,68,38,65,54,64,92
ENSMUSG00000005718,Tfap4,transcription factor AP4 [Source:MGI Symbol;Acc:MGI:103239],-1.342674123,4.69E-08,3.58E-07,18,15,11,14,16,14,45,25,37,24,38,47
ENSMUSG00000022788,Fgd4,"FYVE, RhoGEF and PH domain containing 4 [Source:MGI Symbol;Acc:MGI:2183747]",-0.594797633,4.72E-08,3.60E-07,242,352,258,289,316,236,398,298,491,427,367,477
ENSMUSG00000033610,Pank1,pantothenate kinase 1 [Source:MGI Symbol;Acc:MGI:1922985],-0.564825489,4.83E-08,3.68E-07,223,278,182,209,231,199,377,271,265,301,328,332
ENSMUSG00000085761,4930455G09Rik,RIKEN cDNA 4930455G09 gene [Source:MGI Symbol;Acc:MGI:1926167],3.17107101,4.95E-08,3.77E-07,15,14,20,6,30,16,2,0,2,2,0,5
ENSMUSG00000070315,4930581F22Rik,RIKEN cDNA 4930581F22 gene [Source:MGI Symbol;Acc:MGI:1926184],0.987708826,4.98E-08,3.80E-07,157,148,95,87,96,110,46,49,66,62,49,64
ENSMUSG00000057789,Bak1,BCL2-antagonist/killer 1 [Source:MGI Symbol;Acc:MGI:1097161],-0.494292524,5.00E-08,3.81E-07,487,532,493,484,550,530,708,598,713,625,768,751
ENSMUSG00000075266,Cenpw,centromere protein W [Source:MGI Symbol;Acc:MGI:1913561],-1.673308628,5.02E-08,3.82E-07,13,13,20,9,26,8,50,23,72,52,35,42
ENSMUSG00000027374,Mrps5,mitochondrial ribosomal protein S5 [Source:MGI Symbol;Acc:MGI:1924971],0.585048065,5.09E-08,3.87E-07,352,391,354,313,382,391,280,217,236,188,238,241
ENSMUSG00000005802,Slc30a4,"solute carrier family 30 (zinc transporter), member 4 [Source:MGI Symbol;Acc:MGI:1345282]",0.746719874,5.13E-08,3.90E-07,578,556,418,404,418,396,260,178,321,252,270,315
ENSMUSG00000030068,Gm20696,predicted gene 20696 [Source:MGI Symbol;Acc:MGI:5313143],-0.825077045,5.15E-08,3.92E-07,53,58,48,56,64,43,104,86,70,108,82,98
ENSMUSG00000086816,Gm16726,"predicted gene, 16726 [Source:MGI Symbol;Acc:MGI:4439650]",-0.929703974,5.19E-08,3.95E-07,30,34,32,36,48,33,80,60,52,63,58,78
ENSMUSG00000042148,Cox10,heme A:farnesyltransferase cytochrome c oxidase assembly factor 10 [Source:MGI Symbol;Acc:MGI:1917633],0.612540759,5.21E-08,3.96E-07,468,548,424,354,566,544,323,224,301,297,318,366
ENSMUSG00000023073,Slc10a2,"solute carrier family 10, member 2 [Source:MGI Symbol;Acc:MGI:1201406]",2.353736651,5.25E-08,3.99E-07,36,65,22,32,34,30,9,4,19,2,0,7
ENSMUSG00000002733,Plekha3,"pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 3 [Source:MGI Symbol;Acc:MGI:1932515]",0.59577589,5.36E-08,4.08E-07,233,279,177,200,229,209,162,125,149,142,103,164
ENSMUSG00000030104,Edem1,"ER degradation enhancer, mannosidase alpha-like 1 [Source:MGI Symbol;Acc:MGI:2180139]",-0.646872727,5.43E-08,4.13E-07,207,233,194,270,198,203,313,284,388,349,260,379
ENSMUSG00000087615,Pnpla1os,"patatin-like phospholipase domain containing 1, opposite strand [Source:MGI Symbol;Acc:MGI:3801758]",-2.597296129,5.47E-08,4.15E-07,3,4,4,2,2,2,15,22,19,12,20,9
ENSMUSG00000024193,Phf1,PHD finger protein 1 [Source:MGI Symbol;Acc:MGI:98647],-0.826585944,5.54E-08,4.21E-07,110,85,79,78,81,59,131,119,156,124,126,190
ENSMUSG00000049539,H1f1,"H1.1 linker histone, cluster member [Source:MGI Symbol;Acc:MGI:1931523]",-3.600485795,5.58E-08,4.23E-07,0,1,0,3,1,2,9,5,20,15,15,18
ENSMUSG00000021635,Rad17,RAD17 checkpoint clamp loader component [Source:MGI Symbol;Acc:MGI:1333807],0.591036415,5.59E-08,4.24E-07,233,308,237,249,259,266,185,121,202,148,139,201
ENSMUSG00000061559,Wdr61,WD repeat domain 61 [Source:MGI Symbol;Acc:MGI:1917493],0.469866919,5.92E-08,4.49E-07,1019,1169,900,988,1110,1184,792,741,756,704,671,738
ENSMUSG00000039018,Mtg1,mitochondrial ribosome-associated GTPase 1 [Source:MGI Symbol;Acc:MGI:2685015],1.067141571,5.92E-08,4.49E-07,78,80,53,50,74,74,34,28,31,33,38,22
ENSMUSG00000070332,Trim80,tripartite motif-containing 80 [Source:MGI Symbol;Acc:MGI:3588186],-2.880624331,5.95E-08,4.51E-07,0,2,3,3,4,0,11,14,12,10,16,22
ENSMUSG00000027406,Idh3b,isocitrate dehydrogenase 3 (NAD+) beta [Source:MGI Symbol;Acc:MGI:2158650],0.75958,5.98E-08,4.53E-07,842,931,908,666,1014,980,454,407,620,373,513,687
ENSMUSG00000002342,Tmem161a,transmembrane protein 161A [Source:MGI Symbol;Acc:MGI:2384577],0.647540865,6.00E-08,4.54E-07,204,215,195,165,235,212,139,114,131,107,135,125
ENSMUSG00000116836,Gm49727,"predicted gene, 49727 [Source:MGI Symbol;Acc:MGI:6215207]",0.908777745,6.01E-08,4.55E-07,80,98,95,92,86,99,60,56,46,34,40,46
ENSMUSG00000043733,Ptpn11,"protein tyrosine phosphatase, non-receptor type 11 [Source:MGI Symbol;Acc:MGI:99511]",0.493947771,6.02E-08,4.56E-07,509,648,457,440,550,514,368,315,394,301,339,407
ENSMUSG00000116048,Septin2,septin 2 [Source:MGI Symbol;Acc:MGI:97298],0.580910251,6.09E-08,4.60E-07,278,350,212,235,275,256,170,134,193,166,162,206
ENSMUSG00000070390,Nlrp1b,"NLR family, pyrin domain containing 1B [Source:MGI Symbol;Acc:MGI:3582959]",-1.410265065,6.15E-08,4.65E-07,14,13,6,14,13,13,31,23,25,31,35,42
ENSMUSG00000048489,Depp1,DEPP1 autophagy regulator [Source:MGI Symbol;Acc:MGI:1918730],1.394693561,6.22E-08,4.70E-07,60,49,32,53,41,49,21,8,15,12,16,34
ENSMUSG00000028788,Ptp4a2,protein tyrosine phosphatase 4a2 [Source:MGI Symbol;Acc:MGI:1277117],0.487567722,6.23E-08,4.71E-07,2446,3426,2178,2393,2763,2478,2094,1253,1857,1774,1576,2247
ENSMUSG00000041133,Smc1a,structural maintenance of chromosomes 1A [Source:MGI Symbol;Acc:MGI:1344345],-0.459801792,6.24E-08,4.71E-07,1086,1222,865,1052,1130,1056,1470,1045,1350,1411,1536,1672
ENSMUSG00000115902,AC113595.1,"novel transcript, antisense to Apobec3",-1.093263734,6.24E-08,4.71E-07,38,28,16,38,43,32,66,66,49,77,56,86
ENSMUSG00000005823,Gpr108,G protein-coupled receptor 108 [Source:MGI Symbol;Acc:MGI:1925558],0.545134284,6.23E-08,4.71E-07,255,298,255,241,310,278,188,187,152,183,171,195
ENSMUSG00000001098,Kctd10,potassium channel tetramerisation domain containing 10 [Source:MGI Symbol;Acc:MGI:2141207],0.650398012,6.25E-08,4.71E-07,146,202,131,162,216,183,105,110,104,100,95,119
ENSMUSG00000051934,Spats2,"spermatogenesis associated, serine-rich 2 [Source:MGI Symbol;Acc:MGI:1919822]",0.782087238,6.29E-08,4.75E-07,109,117,102,91,115,103,54,70,54,62,46,70
ENSMUSG00000019923,Zwint,ZW10 interactor [Source:MGI Symbol;Acc:MGI:1289227],0.803981061,6.39E-08,4.82E-07,150,283,165,145,193,188,106,87,113,78,103,129
ENSMUSG00000034108,Ccs,copper chaperone for superoxide dismutase [Source:MGI Symbol;Acc:MGI:1333783],-0.727257714,6.41E-08,4.83E-07,115,112,118,125,155,152,246,184,223,158,209,219
ENSMUSG00000021403,Serpinb9b,"serine (or cysteine) peptidase inhibitor, clade B, member 9b [Source:MGI Symbol;Acc:MGI:894668]",5.275351093,6.42E-08,4.83E-07,5,4,8,14,6,7,0,0,0,0,0,0
ENSMUSG00000029110,Rnf4,ring finger protein 4 [Source:MGI Symbol;Acc:MGI:1201691],0.632236101,6.60E-08,4.97E-07,169,275,183,172,235,195,116,113,124,127,123,156
ENSMUSG00000118020,Gm35438,"predicted gene, 35438 [Source:MGI Symbol;Acc:MGI:5594597]",2.184623695,6.73E-08,5.06E-07,24,14,23,25,28,13,5,2,9,3,5,3
ENSMUSG00000031666,Rbl2,RB transcriptional corepressor like 2 [Source:MGI Symbol;Acc:MGI:105085],-0.651732091,6.75E-08,5.08E-07,121,114,126,128,174,128,239,164,181,218,177,221
ENSMUSG00000038763,Alpk3,alpha-kinase 3 [Source:MGI Symbol;Acc:MGI:2151224],-5.215107003,6.76E-08,5.08E-07,0,0,0,0,1,0,10,2,7,13,6,19
ENSMUSG00000074259,Gramd2,GRAM domain containing 2 [Source:MGI Symbol;Acc:MGI:3528937],-1.089607101,6.76E-08,5.08E-07,18,18,23,27,31,27,47,49,53,43,45,58
ENSMUSG00000055200,Sertad3,SERTA domain containing 3 [Source:MGI Symbol;Acc:MGI:2180697],-0.803047125,6.77E-08,5.09E-07,204,147,200,209,191,177,316,366,319,285,303,302
ENSMUSG00000078652,Psme3,"proteaseome (prosome, macropain) activator subunit 3 (PA28 gamma, Ki) [Source:MGI Symbol;Acc:MGI:1096366]",0.581587458,6.78E-08,5.09E-07,406,470,451,409,459,462,326,300,297,233,261,289
ENSMUSG00000074634,Tmem267,transmembrane protein 267 [Source:MGI Symbol;Acc:MGI:3648543],-1.670533312,6.80E-08,5.10E-07,5,24,10,9,30,25,83,38,49,44,35,66
ENSMUSG00000000561,Wdr77,WD repeat domain 77 [Source:MGI Symbol;Acc:MGI:1917715],0.6100841,6.81E-08,5.11E-07,222,284,171,188,250,232,153,101,134,151,134,176
ENSMUSG00000007029,Vars,valyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:90675],0.437093578,6.83E-08,5.13E-07,359,452,349,409,443,351,304,234,294,273,269,302
ENSMUSG00000074183,Gsta1,"glutathione S-transferase, alpha 1 (Ya) [Source:MGI Symbol;Acc:MGI:1095417]",1.337264339,6.85E-08,5.14E-07,120,178,169,160,303,247,106,96,35,63,78,63
ENSMUSG00000026427,Eif2d,eukaryotic translation initiation factor 2D [Source:MGI Symbol;Acc:MGI:109342],0.821596347,6.92E-08,5.19E-07,109,123,156,110,118,114,73,58,66,68,53,84
ENSMUSG00000044037,Als2cl,ALS2 C-terminal like [Source:MGI Symbol;Acc:MGI:2447532],0.898598948,7.01E-08,5.26E-07,126,144,167,185,199,167,105,106,69,80,61,89
ENSMUSG00000020520,Galnt10,polypeptide N-acetylgalactosaminyltransferase 10 [Source:MGI Symbol;Acc:MGI:1890480],-0.794751084,7.04E-08,5.27E-07,106,92,104,122,143,115,181,218,189,172,188,181
ENSMUSG00000021868,Ppif,peptidylprolyl isomerase F (cyclophilin F) [Source:MGI Symbol;Acc:MGI:2145814],0.842443283,7.05E-08,5.28E-07,286,350,276,235,251,221,148,133,208,131,101,147
ENSMUSG00000028180,Zranb2,"zinc finger, RAN-binding domain containing 2 [Source:MGI Symbol;Acc:MGI:1858211]",0.605706547,7.10E-08,5.32E-07,695,997,600,564,791,684,426,360,448,421,477,595
ENSMUSG00000049686,Orai1,ORAI calcium release-activated calcium modulator 1 [Source:MGI Symbol;Acc:MGI:1925542],-0.701711147,7.14E-08,5.35E-07,213,215,171,202,255,251,433,261,256,356,371,371
ENSMUSG00000013653,1810065E05Rik,RIKEN cDNA 1810065E05 gene [Source:MGI Symbol;Acc:MGI:1917114],-3.543764464,7.24E-08,5.42E-07,1,1,0,0,0,5,14,14,18,11,11,10
